错误码,备注,值

ErrSendInnerMsg,发送内部消息错误,300
ErrInnerMsgTimeout,内部消息超时,301
ErrServerNotFound,服务器没有找到,302
ErrMincroServerNotFound,服务没有找到,303
ErrContainsSensitiveWord,名字中存在敏感词句,304


ErrAuthSession,session错误,1001
ErrAuthNameRepeated,用户名重复,1002
ErrAuthUserNotFound,用户没有找到,1003
ErrAuthPasswdErr,密码错误,1004
ErrAuthChannelNotFound,渠道没有找到,1005
ErrAuthRoleNotFound,角色没有找到,1006
ErrAuthAreaNotFound,区服没有找到,1007
ErrAuthGetRole,获取角色数据出错,1008
ErrAuthAreaClose,区服未开服,1009
ErrAuthRoleNameMaxLength,注册名字超出最大长度,1010
ErrAuthRoleNameMinLength,注册名字过短,1011
ErrAuthLoginBan,封号无法登陆,1012
ErrAuthAreaRoleExist,该区服已有角色,1013
ErrAuthLoginVersion,登录版本错误,1014
ErrAuthLoginTooFast,登陆过于频繁,1015


ErrLoginNeed,需要登陆,2001
ErrLoginRepeated,重复登陆,2002
ErrLoginSession,session错误,2003
ErrLoginReConnSession,重连session不等于数据库mainsession,2004



ErrFriendCountReachedMax,达到好友数量上限,3001
ErrFriendAlready,已经是好友,3002
ErrFriendReqruestNameIsNull,好友请求名字为空,3003
ErrFriendRequestFailed,好友请求失败,3004
ErrFriendRequestNotDeal,好友请求通知未处理,3005
ErrFriendRequestsNotExistIn,不存在此好友请求,3006
ErrFriendAddNewErr,添加新好友失败,3007
ErrFriendRequestCountReachedMax,对方好友请求达到上限,3008
ErrFriendNotExist,好友不存在,3009
ErrFriendRequestExist,好友请求已存在,3010
ErrFriendRequestClearFail,清空好友请求失败,3011
ErrFriendDelFail,删除好友失败,3012


ErrAnswerFail,答题失败,4001
ErrMoneyNotEnough,金钱不足,4002
ErrMaxShareNum,达到最大分享次数,4003